FULL_NAME;ID_1;GRP_2008_RUB;GRP_2008_USD;GRP_2007_RUB;GRP_2007_USD;GRP_2005_RUB;GRP_2005_USD
Altai Krai;3;18783;756;15318;599;8806;311
Altai Republic;19;275084;11068;221119;8644;146569;5182
Amur Oblast;4;136784;5504;114282;4467;76861;2717
Arkhangelsk Oblast;5;298112;11995;286862;11214;166433;5884
Astrakhan Oblast;6;147062;5917;105063;4107;70128;2479
Belgorod Oblast;8;273213;10993;23264;9094;161194;5699
Bryansk Oblast;9;12702;5111;106144;4149;66692;2358
Chechen Republic;11;65624;264;46782;1829;22899;810
Chelyabinsk Oblast;12;664974;26756;582945;22788;349957;12373
Chukotka Autonomous Okrug;14;30699;1235;21222;830;12355;437
Chuvash Republic;15;15762;6342;121904;4765;69392;2453
Federal city of Moscow;48;8441206;339647;6731189;263134;4135155;146199
Federal city of Saint Petersburg;16;1420830;5717;1109297;43364;666393;2356
Irkutsk Oblast;21;456706;18376;403031;15755;258096;9125
Ivanovo Oblast;22;86084;3464;75785;2963;44415;157
Jewish Autonomous Oblast;89;26695;1074;24607;962;14204;502
Kabardino-Balkar Republic;23;58629;2359;50385;197;36833;1302
Kaliningrad Oblast;24;176257;7092;148294;5797;86927;3073
Kaluga Oblast;26;153253;6166;114449;4474;70954;2509
Kamchatka Krai;27;78248;3148;67918;2655;43974;1555
Karachay–Cherkess Republic;28;35257;1419;28239;1104;16724;591
Kemerovo Oblast;30;575942;23174;444352;17371;295378;10443
Khabarovsk Krai;31;289322;11641;228666;8939;133587;4723
Khanty–Mansi Autonomous Okrug;33;1937607;77963;1728340;67564;1399336;49474
Kirov Oblast;34;150883;6071;120239;47;79801;2821
Komi Republic;36;295614;11895;242431;9477;171307;6057
Kostroma Oblast;38;81096;3263;68579;2681;44685;158
Krasnodar Krai;39;808704;3254;655298;25617;37293;13185
Krasnoyarsk Krai;40;740233;29785;734414;2871;439737;15547
Kurgan Oblast;41;106442;4283;82731;3234;50246;1776
Kursk Oblast;42;167991;6759;132107;5164;86625;3063
Leningrad Oblast;43;383892;15447;312405;12212;205417;7263
Lipetsk Oblast;44;240316;967;205824;8046;139995;495
Magadan Oblast;45;41949;1688;35424;1385;27168;961
Mari El Republic;46;674;2712;56391;2204;33351;1179
Moscow Oblast;49;1685489;67819;1306077;51057;708062;25034
Murmansk Oblast;50;219952;885;18998;7427;131252;464
Nenets Autonomous Okrug;51;91523;3683;98374;3846;44718;1581
Nizhny Novgorod Oblast;52;597988;24061;473909;18526;299724;10597
Novgorod Oblast;54;115479;4647;8756;3423;63848;2257
Novosibirsk Oblast;55;460087;18512;382186;1494;235382;8322
Omsk Oblast;56;352938;14201;301803;11798;220686;7802
Orenburg Oblast;58;425045;17102;375073;14662;213138;7536
Oryol Oblast;57;95434;384;79791;3119;53182;188
Penza Oblast;59;145127;5839;119905;4687;74363;2629
Perm Krai;60;60923;24513;480023;18765;327273;11571
Primorsky Krai;61;31936;1285;263272;10292;186623;6598
Pskov Oblast;62;73448;2955;63108;2467;40583;1435
Republic of Adygea;1;37236;1498;29158;114;17029;602
Republic of Bashkortostan;7;749481;30157;60131;23506;381647;13493
Republic of Buryatia;10;12683;5103;109554;4283;74913;2649
Republic of Dagestan;17;21126;85;166721;6517;90443;3198
Republic of Ingushetia;20;192;773;14835;580;7419;262
Republic of Kalmykia;25;20792;837;16651;651;9686;342
Republic of Karelia;29;117217;4716;104623;409;77125;2727
Republic of Khakassia;32;74088;2981;64029;2503;41728;1475
Republic of Mordovia;47;94582;3806;77003;301;44267;1565
Republic of North Ossetia–Alania;53;57868;2328;53668;2098;31182;1102
Republic of Tatarstan;73;923206;37147;77073;30129;482759;17068
Rostov Oblast;63;576386;23192;453061;17711;263052;93
Ryazan Oblast;64;14971;6024;126103;493;84383;2983
Sakha Republic;65;304987;12272;246469;9635;183027;6471
Sakhalin Oblast;66;335878;13515;286049;11182;121014;4278
Samara Oblast;67;706514;28428;600368;23469;401812;14206
Saratov Oblast;68;330564;13301;261683;1023;170931;6043
Smolensk Oblast;69;121564;4891;99141;3876;65526;2317
Stavropol Krai;70;251726;10129;216059;8446;159579;5642
Sverdlovsk Oblast;71;944408;38;825036;32252;475576;16814
Tambov Oblast;72;12322;4958;107596;4206;63615;2249
Tomsk Oblast;75;263172;10589;213774;8357;145194;5133
Tula Oblast;76;230606;9279;176866;6914;116221;4109
Tuva Republic;77;24409;982;19776;773;11663;412
Tver Oblast;78;196952;7925;158883;6211;96897;3426
Tyumen Oblast;79;3143607;126489;2785336;108884;2215584;78332
Udmurt Republic;80;215913;8688;192177;7513;13287;4698
Ulyanovsk Oblast;81;181716;7312;145921;5704;81838;2893
Vladimir Oblast;83;151134;6081;126714;4953;80584;2849
Volgograd Oblast;84;431748;17372;333856;13051;203232;7185
Vologda Oblast;85;298126;11996;243948;9536;193966;6858
Voronezh Oblast;86;268842;10817;223751;8747;135686;4797
Yamalo-Nenets Autonomous Okrug;87;712606;28673;622748;24344;441722;15617
Yaroslavl Oblast;88;319071;12838;178846;6991;114409;4045
Zabaykalsky Krai;2;140866;5668;11323;4426;69647;2462
