FULL_NAME;ID_1;murder_05;murder_06;murder_07;murder_08;murder_09;murder_10;murder_14
Republic of Adygea;1;11;13;8;10;12;6;5
Zabaykalsky Krai;2;0;0;0;0;0;0;27
Altai Krai;3;21;19;16;15;12;11;12
Amur Oblast;4;30;32;21;26;21;18;23
Arkhangelsk Oblast;5;25;22;19;17;14;13;14
Astrakhan Oblast;6;22;19;18;12;10;11;3
Republic of Bashkortostan;7;14;13;12;11;11;10;9
Belgorod Oblast;8;11;10;8;7;6;6;5
Bryansk Oblast;9;17;13;13;12;11;10;9
Republic of Buryatia;10;42;40;33;32;26;26;24
Chechen Republic;11;36;22;12;9;12;8;2
Chelyabinsk Oblast;12;24;23;17;16;14;14;12
Chukotka Autonomous Okrug;14;39;26;36;14;40;19;22
Chuvash Republic;15;14;12;10;10;8;8;7
Federal city of Saint Petersburg;16;20;18;15;14;12;9;5
Republic of Dagestan;17;8;9;6;6;8;11;6
Altai Republic;19;30;32;19;28;27;21;26
Republic of Ingushetia;20;11;12;14;16;20;12;3
Irkutsk Oblast;21;45;38;29;30;26;22;19
Ivanovo Oblast;22;24;19;19;15;15;10;6
Kabardino-Balkar Republic;23;10;6;10;8;6;11;2
Kaliningrad Oblast;24;13;14;14;11;10;10;9
Republic of Kalmykia;25;33;31;20;12;18;12;9
Kaluga Oblast;26;17;17;16;14;14;12;8
Kamchatka Krai;27;27;27;25;14;14;13;16
Karachay–Cherkess Republic;28;17;14;17;10;13;11;7
Republic of Karelia;29;23;19;18;14;14;11;12
Kemerovo Oblast;30;28;24;24;21;18;17;16
Khabarovsk Krai;31;38;40;29;25;19;19;12
Republic of Khakassia;32;22;26;19;19;15;14;11
Khanty–Mansi Autonomous Okrug;33;24;20;14;13;12;12;8
Kirov Oblast;34;16;10;13;11;10;9;11
Komi Republic;36;35;32;21;18;17;16;17
Kostroma Oblast;38;19;19;19;15;12;8;6
Krasnodar Krai;39;12;12;9;8;7;8;6
Krasnoyarsk Krai;40;30;23;20;18;16;14;12
Kurgan Oblast;41;39;28;23;23;19;17;18
Kursk Oblast;42;14;11;9;9;9;6;5
Leningrad Oblast;43;28;28;22;19;17;16;10
Lipetsk Oblast;44;12;11;11;10;9;9;9
Magadan Oblast;45;41;32;25;30;25;19;14
Mari El Republic;46;22;22;18;19;16;17;11
Republic of Mordovia;47;17;15;11;8;8;5;6
Federal city of Moscow;48;13;11;11;9;6;6;4
Moscow Oblast;49;25;21;19;15;13;11;11
Murmansk Oblast;50;15;11;10;9;7;9;6
Nenets Autonomous Okrug;51;31;29;31;41;19;21;16
Nizhny Novgorod Oblast;52;18;15;10;12;10;8;4
Republic of North Ossetia–Alania;53;14;16;10;11;10;7;4
Novgorod Oblast;54;19;19;18;16;18;15;13
Novosibirsk Oblast;55;20;16;16;15;13;11;11
Omsk Oblast;56;21;17;16;13;12;9;4
Oryol Oblast;57;18;18;13;12;10;8;5
Orenburg Oblast;58;34;29;19;17;15;13;11
Penza Oblast;59;13;9;10;7;8;6;7
Perm Krai;60;35;29;23;20;21;17;16
Primorsky Krai;61;38;36;28;25;21;17;17
Pskov Oblast;62;21;15;16;14;13;10;10
Rostov Oblast;63;14;12;9;8;8;7;4
Ryazan Oblast;64;21;14;13;8;11;8;3
Sakha Republic;65;34;33;27;25;22;19;22
Sakhalin Oblast;66;38;43;33;25;25;14;12
Samara Oblast;67;21;20;15;14;13;10;7
Saratov Oblast;68;14;13;12;10;8;7;7
Smolensk Oblast;69;19;19;11;13;13;10;9
Stavropol Krai;70;12;13;10;9;8;8;6
Sverdlovsk Oblast;71;26;27;21;17;15;12;13
Tambov Oblast;72;16;13;9;9;9;7;6
Republic of Tatarstan;73;13;11;9;9;8;7;7
Tomsk Oblast;75;18;16;14;14;12;13;6
Tula Oblast;76;22;19;14;13;13;10;8
Tuva Republic;77;91;79;65;64;60;54;37
Tver Oblast;78;25;30;16;16;12;11;12
Tyumen Oblast;79;23;21;16;15;14;13;9
Udmurt Republic;80;20;18;14;15;10;10;11
Ulyanovsk Oblast;81;28;26;19;14;10;10;5
Vladimir Oblast;83;24;18;15;12;12;12;11
Volgograd Oblast;84;16;21;11;11;11;10;7
Vologda Oblast;85;21;18;15;13;15;12;6
Voronezh Oblast;86;13;11;9;8;7;6;5
Yamalo-Nenets Autonomous Okrug;87;16;14;13;16;12;15;9
Yaroslavl Oblast;88;19;17;15;14;9;8;7
Jewish Autonomous Oblast;89;28;23;23;29;17;16;22
