FULL_NAME;ID_1;POP_2002;POP_2010
Republic of Adygea;1;447109;439996
Zabaykalsky Krai;2;1155346;1107107
Altai Krai;3;2607426;2419755
Amur Oblast;4;902844;830103
Arkhangelsk Oblast;5;1294993;1185536
Astrakhan Oblast;6;1005276;1010073
Republic of Bashkortostan;7;4104336;4072292
Belgorod Oblast;8;1511620;1532526
Bryansk Oblast;9;1378941;1278217
Republic of Buryatia;10;981238;972021
Chechen Republic;11;1103686;1268989
Chelyabinsk Oblast;12;3603339;3476217
Chukotka Autonomous Okrug;14;53824;50526
Chuvash Republic;15;1313754;1251619
Federal city of Saint Petersburg;16;4661219;4879566
Republic of Dagestan;17;2576531;2910249
Altai Republic;19;202947;206168
Republic of Ingushetia;20;467294;412529
Irkutsk Oblast;21;2581705;2428750
Ivanovo Oblast;22;1148329;1061651
Kabardino-Balkar Republic;23;901494;859939
Kaliningrad Oblast;24;955281;941873
Republic of Kalmykia;25;292410;289481
Kaluga Oblast;26;1041641;1010930
Kamchatka Krai;27;358801;322079
Karachay–Cherkess Republic;28;439470;478859
Republic of Karelia;29;716281;643548
Kemerovo Oblast;30;2899142;2763135
Khabarovsk Krai;31;1436570;1343869
Republic of Khakassia;32;546072;532403
Khanty–Mansi Autonomous Okrug;33;1432817;1532243
Kirov Oblast;34;1503529;1341312
Komi Republic;36;1018674;901189
Kostroma Oblast;38;736641;667562
Krasnodar Krai;39;5125221;5226647
Krasnoyarsk Krai;40;2966042;2828187
Kurgan Oblast;41;1019532;910807
Kursk Oblast;42;1235091;1127081
Leningrad Oblast;43;1669205;1716868
Lipetsk Oblast;44;1213499;1173513
Magadan Oblast;45;182726;156996
Mari El Republic;46;727979;696459
Republic of Mordovia;47;888766;834755
Federal city of Moscow;48;10382754;11503501
Moscow Oblast;49;6618538;7095120
Murmansk Oblast;50;892534;795409
Nenets Autonomous Okrug;51;41546;42090
Nizhny Novgorod Oblast;52;3524028;3310597
Republic of North Ossetia–Alania;53;710275;712980
Novgorod Oblast;54;694355;634111
Novosibirsk Oblast;55;2692251;2665911
Omsk Oblast;56;2079220;1977665
Oryol Oblast;57;860262;786935
Orenburg Oblast;58;2179551;2033072
Penza Oblast;59;1452941;1386186
Perm Krai;60;2819421;2635276
Primorsky Krai;61;2071210;1956497
Pskov Oblast;62;760810;673423
Rostov Oblast;63;4404013;4277976
Ryazan Oblast;64;1227910;1154114
Sakha Republic;65;949280;958528
Sakhalin Oblast;66;546695;497973
Samara Oblast;67;3239737;3215532
Saratov Oblast;68;2668310;2521892
Smolensk Oblast;69;1049574;985537
Stavropol Krai;70;2735139;2786281
Sverdlovsk Oblast;71;4486214;4297747
Tambov Oblast;72;1178443;1091994
Republic of Tatarstan;73;3779265;3786488
Tomsk Oblast;75;1046039;1047394
Tula Oblast;76;1675758;1553925
Tuva Republic;77;305510;307930
Tver Oblast;78;1471459;1353392
Tyumen Oblast;79;1325018;1340608
Udmurt Republic;80;1570316;1521420
Ulyanovsk Oblast;81;1382811;1292799
Vladimir Oblast;83;1523990;1443693
Volgograd Oblast;84;2699223;2610161
Vologda Oblast;85;1269568;1202444
Voronezh Oblast;86;2378803;2335380
Yamalo-Nenets Autonomous Okrug;87;507006;522904
Yaroslavl Oblast;88;1367398;1272468
Jewish Autonomous Oblast;89;190915;176558
